cell,gamma,pos_method,neg_method,pos_vs_neg_delta,pos_vs_neg_ci,pos_vs_van_delta,pos_vs_van_ci,neg_vs_van_delta,neg_vs_van_ci,classification
AC-Trap,0.6,fixed_beta_+0.1,fixed_beta_-0.1,184.1,"[121.9, 243.3]",131.7,"[87.8, 174.2]",-52.4,"[-97.0, -10.2]",G_plus
AC-Trap,0.8,fixed_beta_+0.05,fixed_beta_-0.05,0.6,"[-112.0, 103.5]",-43.9,"[-147.5, 49.4]",-44.5,"[-71.1, -21.1]",neither
AC-Trap,0.9,fixed_beta_+0.05,fixed_beta_-0.05,-40166.0,"[-41991.2, -38623.1]",-40266.3,"[-42093.0, -38726.3]",-100.3,"[-157.4, -39.5]",neither
AC-Trap,0.95,fixed_beta_+0.05,fixed_beta_-0.05,-50843.8,"[-51831.1, -49766.2]",-50924.6,"[-51924.2, -49830.3]",-80.8,"[-141.8, -27.2]",neither
RR-StationaryConvention,0.6,fixed_beta_+0.05,fixed_beta_-0.5,-46.8,"[-69.2, -22.6]",-20.8,"[-41.8, -6.0]",26.0,"[8.2, 42.8]",G_minus
RR-StationaryConvention,0.8,fixed_beta_+0.05,fixed_beta_-0.5,-149.4,"[-193.8, -110.2]",-25.2,"[-37.0, -12.4]",124.2,"[87.2, 164.2]",G_minus
RR-StationaryConvention,0.9,fixed_beta_+0.05,fixed_beta_-0.5,-380.4,"[-476.4, -288.6]",-173.6,"[-246.0, -112.8]",206.8,"[157.8, 260.0]",G_minus
RR-StationaryConvention,0.95,fixed_beta_+0.05,fixed_beta_-0.5,-753.8,"[-876.8, -632.8]",-433.8,"[-528.4, -347.8]",320.0,"[241.2, 401.4]",G_minus
SH-FiniteMemoryRegret,0.6,fixed_beta_+0.35,fixed_beta_-0.05,45.4,"[-47.6, 143.6]",84.1,"[-39.2, 219.9]",38.7,"[-60.8, 145.2]",neither
SH-FiniteMemoryRegret,0.8,fixed_beta_+0.05,fixed_beta_-0.5,-160.7,"[-230.8, -86.1]",-63.4,"[-182.9, 54.6]",97.3,"[9.9, 181.8]",G_minus
SH-FiniteMemoryRegret,0.9,fixed_beta_+0.05,fixed_beta_-0.2,-331.5,"[-537.7, -145.7]",-232.1,"[-465.2, 1.9]",99.4,"[-68.5, 264.4]",neither
SH-FiniteMemoryRegret,0.95,fixed_beta_+0.05,fixed_beta_-0.5,-859.1,"[-986.0, -733.7]",-711.3,"[-915.0, -456.2]",147.8,"[-14.9, 334.6]",neither
DC-Long50,0.6,fixed_beta_+0.05,fixed_beta_-2.0,-829.288079889142,"[-829.3, -829.3]",-34.36772181693232,"[-34.4, -34.4]",794.9203580722096,"[794.9, 794.9]",G_minus
DC-Long50,0.8,fixed_beta_+0.05,fixed_beta_-2.0,-1596.5389092219993,"[-1596.5, -1596.5]",-86.34813060879242,"[-86.3, -86.3]",1510.190778613207,"[1510.2, 1510.2]",G_minus
DC-Long50,0.9,fixed_beta_+0.05,fixed_beta_-2.0,-2372.4751476055244,"[-2372.5, -2372.5]",-180.0333689749532,"[-180.0, -180.0]",2192.441778630571,"[2192.4, 2192.4]",G_minus
DC-Long50,0.95,fixed_beta_+0.05,fixed_beta_-2.0,-3182.163049552415,"[-3182.2, -3182.2]",-345.07667860091897,"[-345.1, -345.1]",2837.086370951496,"[2837.1, 2837.1]",G_minus
